,ds,yhat,yhat_lower,yhat_upper
363,2018-12-30,4525.3797896412525,-914.6278553497989,9980.148309966373
364,2018-12-31,4921.738786984147,-744.2843647567697,10287.728333015228
365,2019-01-01,5221.372564256231,70.41732761698636,10440.97031140785
366,2019-01-02,5613.6681069758915,55.4745127180603,11055.394055944038
367,2019-01-03,5870.508264551126,347.9487781809551,10968.89077253766
368,2019-01-04,6235.738009364009,708.3699607078071,11799.50226929206
369,2019-01-05,6501.9141626625415,735.3976362357771,11598.870448548427
370,2019-01-06,6662.655874571647,944.489800602088,12409.685673511918
371,2019-01-07,6863.738584568715,972.1077762186987,12389.635946254484
372,2019-01-08,6942.183826777471,1802.1373062099135,12031.182640431916
373,2019-01-09,7091.435263290166,1364.1225957339232,12455.215165266747
374,2019-01-10,7087.924999294788,1984.5475142603239,12360.78705608886
375,2019-01-11,7180.445347056035,1490.6733563321627,12808.7563180827
376,2019-01-12,7166.793674954078,1842.6092506556602,12673.795061851932
377,2019-01-13,7046.0100426734025,1666.521958648274,12244.271649367587
378,2019-01-14,6969.352985114676,1597.2493195545987,12055.001216178407
379,2019-01-15,6779.268602931445,1236.1621629656108,12122.22120863392
380,2019-01-16,6674.446224137709,1590.0122163798605,11836.57265485086
381,2019-01-17,6436.267586954449,961.6108073893304,12119.710651266487
382,2019-01-18,6318.06754910155,780.0237192637012,11968.98877750178
383,2019-01-19,6121.676667283886,1216.262770382962,11505.062655892954
384,2019-01-20,5849.567855439405,449.177599962325,11012.88562421328
385,2019-01-21,5655.754726988525,132.7530160705933,11259.756606350233
386,2019-01-22,5384.698698710806,-86.88190852208204,10593.058736024423
387,2019-01-23,5236.319667241962,-574.8021588037335,10630.316855313156
388,2019-01-24,4992.418341020979,-478.1651825848151,10155.091851628269
389,2019-01-25,4905.9289214173505,-339.43546335261186,10245.554869170986
390,2019-01-26,4777.472702245,-941.5600764093101,10254.079108345122
391,2019-01-27,4607.5345516055395,-952.8777762996888,9973.62537800713
392,2019-01-28,4547.409189011525,-581.7250529488613,10138.506827968347
393,2019-01-29,4438.173091234066,-929.4757749976948,9951.188802908579
394,2019-01-30,4475.77543414602,-1048.7840271337761,9965.673183119441
395,2019-01-31,4437.554023548074,-1220.5662438356928,10280.009690520335
396,2019-02-01,4571.592708066818,-1197.7141256200252,9670.64131138115
397,2019-02-02,4673.388266253916,-540.7519518525849,10249.470630907115
398,2019-02-03,4738.145964319205,-721.8251193984181,10215.585498333392
399,2019-02-04,4911.8477752802355,12.043459142461089,10128.316607700099
400,2019-02-05,5030.34621105292,-167.81492485662878,10684.914220842506
401,2019-02-06,5284.5740449123,-301.5619611446777,10716.887040126425
402,2019-02-07,5447.17318048692,-65.6849266232645,11436.304602244336
403,2019-02-08,5761.956363216961,165.06096615682634,11460.91671128089
404,2019-02-09,6020.66726085245,561.1953261211654,11138.100321365744
405,2019-02-10,6215.355916631188,717.2907415387049,11719.062233667653
406,2019-02-11,6489.511717767684,560.5153924669662,12237.901656699909
